date,country,Zuzuege D,Fortzuege D,Wanderungssaldo D,Zuzuege A,Fortzuege A,Wanderungssaldo A,Zuzuege I,Fortzuege I,Wanderungssaldo I
2002-01-01,FRA,5412.0,6875.0,-1463.0,13207.0,12940.0,267.0,18619.0,19815.0,-1196.0
2002-01-01,HRV,252.0,265.0,-13.0,12738.0,13463.0,-725.0,12990.0,13728.0,-738.0
2002-01-01,SVN,93.0,129.0,-36.0,2286.0,2373.0,-87.0,2379.0,2502.0,-123.0
2002-01-01,GRC,902.0,1102.0,-200.0,15011.0,18896.0,-3885.0,15913.0,19998.0,-4085.0
2002-01-01,IRL,537.0,725.0,-188.0,1693.0,1909.0,-216.0,2230.0,2634.0,-404.0
2002-01-01,ISL,60.0,87.0,-27.0,234.0,181.0,53.0,294.0,268.0,26.0
2002-01-01,ITA,2503.0,3264.0,-761.0,24379.0,33271.0,-8892.0,26882.0,36535.0,-9653.0
2002-01-01,LVA,137.0,52.0,85.0,2058.0,1326.0,732.0,2195.0,1378.0,817.0
2002-01-01,MNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,LTU,305.0,60.0,245.0,3830.0,2230.0,1600.0,4135.0,2290.0,1845.0
2002-01-01,LUX,583.0,667.0,-84.0,1156.0,660.0,496.0,1739.0,1327.0,412.0
2002-01-01,MKD,37.0,49.0,-12.0,3913.0,3318.0,595.0,3950.0,3367.0,583.0
2002-01-01,MLT,46.0,48.0,-2.0,65.0,43.0,22.0,111.0,91.0,20.0
2002-01-01,NLD,3772.0,3660.0,112.0,10204.0,5676.0,4528.0,13976.0,9336.0,4640.0
2002-01-01,NOR,378.0,821.0,-443.0,1156.0,932.0,224.0,1534.0,1753.0,-219.0
2002-01-01,RKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,AUT,3687.0,6279.0,-2592.0,10714.0,9650.0,1064.0,14401.0,15929.0,-1528.0
2002-01-01,POL,19502.0,11084.0,8418.0,81466.0,67655.0,13811.0,100968.0,78739.0,22229.0
2002-01-01,PRT,860.0,806.0,54.0,7946.0,10509.0,-2563.0,8806.0,11315.0,-2509.0
2002-01-01,ROU,757.0,403.0,354.0,23803.0,17431.0,6372.0,24560.0,17834.0,6726.0
2002-01-01,SVK,146.0,95.0,51.0,11454.0,9725.0,1729.0,11600.0,9820.0,1780.0
2002-01-01,SWE,598.0,1144.0,-546.0,2883.0,2732.0,151.0,3481.0,3876.0,-395.0
2002-01-01,CHE,4271.0,10703.0,-6432.0,4262.0,3957.0,305.0,8533.0,14660.0,-6127.0
2002-01-01,RUS,41587.0,1710.0,39877.0,35816.0,13213.0,22603.0,77403.0,14923.0,62480.0
2002-01-01,ESP,6193.0,6767.0,-574.0,9233.0,9914.0,-681.0,15426.0,16681.0,-1255.0
2002-01-01,TUR,1461.0,1307.0,154.0,57187.0,35433.0,21754.0,58648.0,36740.0,21908.0
2002-01-01,CZE,799.0,688.0,111.0,10351.0,9003.0,1348.0,11150.0,9691.0,1459.0
2002-01-01,HUN,680.0,769.0,-89.0,16531.0,15642.0,889.0,17211.0,16411.0,800.0
2002-01-01,UKR,3729.0,178.0,3551.0,20318.0,6400.0,13918.0,24047.0,6578.0,17469.0
2002-01-01,GBR,4464.0,5806.0,-1342.0,10239.0,10856.0,-617.0,14703.0,16662.0,-1959.0
2002-01-01,BLR,387.0,35.0,352.0,3982.0,1674.0,2308.0,4369.0,1709.0,2660.0
2002-01-01,SRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,CYP,96.0,120.0,-24.0,164.0,122.0,42.0,260.0,242.0,18.0
2002-01-01,XXX,883.0,483.0,400.0,27786.0,37103.0,-9317.0,28669.0,37586.0,-8917.0
2002-01-01,DZA,341.0,296.0,45.0,2649.0,1761.0,888.0,2990.0,2057.0,933.0
2002-01-01,AGO,18.0,14.0,4.0,926.0,481.0,445.0,944.0,495.0,449.0
2002-01-01,ETH,84.0,76.0,8.0,998.0,603.0,395.0,1082.0,679.0,403.0
2002-01-01,CIV,42.0,22.0,20.0,500.0,216.0,284.0,542.0,238.0,304.0
2002-01-01,NGA,137.0,112.0,25.0,1941.0,1206.0,735.0,2078.0,1318.0,760.0
2002-01-01,GHA,122.0,95.0,27.0,1990.0,867.0,1123.0,2112.0,962.0,1150.0
2002-01-01,KEN,188.0,164.0,24.0,1039.0,502.0,537.0,1227.0,666.0,561.0
2002-01-01,COG,14.0,9.0,5.0,573.0,270.0,303.0,587.0,279.0,308.0
2002-01-01,COD,5.0,8.0,-3.0,697.0,593.0,104.0,702.0,601.0,101.0
2002-01-01,LBY,44.0,29.0,15.0,593.0,567.0,26.0,637.0,596.0,41.0
2002-01-01,MAR,228.0,164.0,64.0,6179.0,2675.0,3504.0,6407.0,2839.0,3568.0
2002-01-01,NER,20.0,18.0,2.0,233.0,78.0,155.0,253.0,96.0,157.0
2002-01-01,CMR,75.0,39.0,36.0,2799.0,1053.0,1746.0,2874.0,1092.0,1782.0
